Wavefronts,L2CacheHit,VALUInsts,SALUInsts,FlatVMemInsts,LDSInsts,GDSInsts,DurationNs,NKernels,NEvents,TraceSize,Experience
16384,9889,126602,30591,8797,36465,0,22592699,255,22878,1537906,nw
16384,9840,126602,30591,8797,36465,0,22577993,255,22878,1537906,nw
16384,9872,126602,30591,8797,36465,0,22571610,255,22878,1537906,nw
16384,9809,126602,30591,8797,36465,0,22804213,255,22879,1537906,nw
16384,9860,126602,30591,8797,36465,0,22594635,255,22879,1537906,nw
16384,9848,126602,30591,8797,36465,0,22786577,255,22878,1537906,nw
16384,9907,126602,30591,8797,36465,0,22555462,255,22878,1537906,nw
16384,9851,126602,30591,8797,36465,0,22740235,255,22878,1537906,nw
16384,9873,126602,30591,8797,36465,0,22664379,255,22879,1537906,nw
16384,9834,126602,30591,8797,36465,0,22694575,255,22878,1537906,nw
16384,9876,126602,30591,8797,36465,0,22590863,255,22878,1537906,nw
16384,9815,126602,30591,8797,36465,0,22685402,255,22878,1537906,nw
16384,9819,126602,30591,8797,36465,0,22815207,255,22879,1537906,nw
16384,9912,126602,30591,8797,36465,0,22541499,255,22878,1537906,nw
16384,9858,126602,30591,8797,36465,0,22769095,255,22878,1537906,nw
16384,9900,126602,30591,8797,36465,0,22516352,255,22878,1537906,nw
16384,9869,126602,30591,8797,36465,0,22710862,255,22878,1537906,nw
16384,9880,126602,30591,8797,36465,0,22532348,255,22879,1537906,nw
16384,9855,126602,30591,8797,36465,0,22584483,255,22878,1537906,nw
16384,9739,126602,30591,8797,36465,0,22694910,255,22878,1537906,nw
18,36,104,40,18,0,0,34668,4,8632,1245988,gaussian
18,42,104,40,18,0,0,34371,4,8631,1245988,gaussian
18,44,104,40,18,0,0,34223,4,8632,1245988,gaussian
18,41,104,40,18,0,0,34372,4,8632,1245988,gaussian
18,34,104,40,18,0,0,34223,4,8632,1245988,gaussian
18,26,104,40,18,0,0,36742,4,8633,1245988,gaussian
18,44,104,40,18,0,0,33334,4,8633,1245988,gaussian
18,41,104,40,18,0,0,33483,4,8632,1245988,gaussian
18,36,104,40,18,0,0,34373,4,8631,1245988,gaussian
18,41,104,40,18,0,0,33779,4,8633,1245988,gaussian
18,32,104,40,18,0,0,34076,4,8634,1245988,gaussian
18,41,104,40,18,0,0,33929,4,8633,1245988,gaussian
18,36,104,40,18,0,0,33631,4,8631,1245988,gaussian
18,24,104,40,18,0,0,39557,4,8633,1245988,gaussian
18,34,104,40,18,0,0,33927,4,8632,1245988,gaussian
18,42,104,40,18,0,0,34075,4,8631,1245988,gaussian
18,36,104,40,18,0,0,34226,4,8632,1245988,gaussian
18,39,104,40,18,0,0,34669,4,8632,1245988,gaussian
18,44,104,40,18,0,0,33334,4,8633,1245988,gaussian
18,41,104,40,18,0,0,33928,4,8632,1245988,gaussian
64000,142,205,91,36,0,0,631733,2,8734,1274273,b+tree
64000,142,205,91,36,0,0,631437,2,8729,1274273,b+tree
64000,142,205,91,36,0,0,634844,2,8731,1274273,b+tree
64000,142,205,91,36,0,0,632474,2,8729,1274273,b+tree
64000,142,205,91,36,0,0,630844,2,8730,1274273,b+tree
64000,142,205,91,36,0,0,631140,2,8726,1274273,b+tree
64000,142,205,91,36,0,0,633363,2,8728,1274273,b+tree
64000,142,205,91,36,0,0,631732,2,8729,1274273,b+tree
64000,142,205,91,36,0,0,631733,2,8729,1274273,b+tree
64000,142,205,91,36,0,0,630696,2,8729,1274273,b+tree
64000,142,205,91,36,0,0,633510,2,8731,1274273,b+tree
64000,142,205,91,36,0,0,632474,2,8730,1274273,b+tree
64000,142,205,91,36,0,0,632027,2,8732,1274273,b+tree
64000,142,205,91,36,0,0,634695,2,8731,1274273,b+tree
64000,142,205,91,36,0,0,634103,2,8732,1274273,b+tree
64000,142,205,91,36,0,0,629658,2,8725,1274273,b+tree
64000,142,205,91,36,0,0,632328,2,8734,1274273,b+tree
64000,142,205,91,36,0,0,632027,2,8727,1274273,b+tree
64000,142,205,91,36,0,0,632029,2,8728,1274273,b+tree
64000,142,205,91,36,0,0,631881,2,8725,1274273,b+tree
418719128,5911,39283892,34899400,2052852,0,0,15208142500,120,15932,1488667,hybridsort
418719128,5913,39283892,34899400,2052852,0,0,15207502054,120,15933,1488667,hybridsort
418719128,5892,39283892,34899400,2052852,0,0,15210338792,120,15933,1488667,hybridsort
418719128,5896,39283892,34899400,2052852,0,0,15206246066,120,15934,1488667,hybridsort
418719128,5905,39283892,34899400,2052852,0,0,15216638527,120,15935,1488667,hybridsort
418719128,5911,39283892,34899400,2052852,0,0,15215149084,120,15935,1488667,hybridsort
418719128,5913,39283892,34899400,2052852,0,0,15207455405,120,15935,1488667,hybridsort
418719128,5921,39283892,34899400,2052852,0,0,15218728256,120,15934,1488667,hybridsort
418719128,5912,39283892,34899400,2052852,0,0,15214296223,120,15933,1488667,hybridsort
418719128,5911,39283892,34899400,2052852,0,0,15210235824,120,15933,1488667,hybridsort
418719128,5911,39283892,34899400,2052852,0,0,15205594626,120,15934,1488667,hybridsort
418719128,5907,39283892,34899400,2052852,0,0,15212862552,120,15934,1488667,hybridsort
418719128,5912,39283892,34899400,2052852,0,0,15213067000,120,15932,1488667,hybridsort
418719128,5910,39283892,34899400,2052852,0,0,15205418764,120,15932,1488667,hybridsort
418719128,5908,39283892,34899400,2052852,0,0,15215030738,120,15935,1488667,hybridsort
418719128,5904,39283892,34899400,2052852,0,0,15204717074,120,15935,1488667,hybridsort
418719128,5905,39283892,34899400,2052852,0,0,15213788733,120,15934,1488667,hybridsort
418719128,5903,39283892,34899400,2052852,0,0,15215933500,120,15932,1488667,hybridsort
418719128,5913,39283892,34899400,2052852,0,0,15208611292,120,15932,1488667,hybridsort
418719128,5914,39283892,34899400,2052852,0,0,15218698744,120,15934,1488667,hybridsort
32768,121,81,18,13,12,0,400167,2,8548,1249065,backprop
32768,121,81,18,13,12,0,399574,2,8549,1249065,backprop
32768,121,81,18,13,12,0,399871,2,8549,1249065,backprop
32768,121,81,18,13,12,0,395129,2,8548,1249065,backprop
32768,121,81,18,13,12,0,404315,2,8549,1249065,backprop
32768,121,81,18,13,12,0,402685,2,8548,1249065,backprop
32768,121,81,18,13,12,0,400166,2,8548,1249065,backprop
32768,121,81,18,13,12,0,406092,2,8548,1249065,backprop
32768,121,81,18,13,12,0,384610,2,8548,1249065,backprop
32768,121,81,18,13,12,0,396907,2,8548,1249065,backprop
32768,121,81,18,13,12,0,379572,2,8548,1249065,backprop
32768,121,81,18,13,12,0,398101,2,8548,1249065,backprop
32768,121,81,18,13,12,0,395277,2,8548,1249065,backprop
32768,121,81,18,13,12,0,404907,2,8549,1249065,backprop
32768,121,81,18,13,12,0,404018,2,8548,1249065,backprop
32768,121,81,18,13,12,0,405065,2,8549,1249065,backprop
32768,121,81,18,13,12,0,383425,2,8548,1249065,backprop
32768,121,81,18,13,12,0,396167,2,8548,1249065,backprop
32768,121,81,18,13,12,0,401203,2,8548,1249065,backprop
32768,121,81,18,13,12,0,389943,2,8548,1249065,backprop
6141404,183604,3475678,1737016,427595,0,0,1607711162,5549,456819,26344265,streamcluster
6141404,184066,3475678,1737016,427595,0,0,1608345462,5549,456845,26344265,streamcluster
6141404,183877,3475678,1737016,427595,0,0,1607379508,5549,456910,26344265,streamcluster
6141404,182235,3475678,1737016,427595,0,0,1612327236,5549,457105,26344265,streamcluster
6141404,183188,3475678,1737016,427595,0,0,1607239656,5549,456892,26344265,streamcluster
6141404,182191,3475678,1737016,427595,0,0,1611112709,5549,456880,26344265,streamcluster
6141404,183633,3475678,1737016,427595,0,0,1606300867,5549,457081,26344265,streamcluster
6141404,183591,3475678,1737016,427595,0,0,1603909861,5549,456905,26344265,streamcluster
6141404,179985,3475678,1737016,427595,0,0,1604086075,5549,457069,26344265,streamcluster
6141404,183796,3475678,1737016,427595,0,0,1605355538,5549,456906,26344265,streamcluster
6141404,183287,3475678,1737016,427595,0,0,1604370994,5549,456782,26344265,streamcluster
6141404,183791,3475678,1737016,427595,0,0,1602723086,5549,457004,26344265,streamcluster
6141404,182794,3475678,1737016,427595,0,0,1604914039,5549,456831,26344265,streamcluster
6141404,179422,3475678,1737016,427595,0,0,1607272462,5549,456764,26344265,streamcluster
6141404,183739,3475678,1737016,427595,0,0,1602354896,5549,456892,26344265,streamcluster
6141404,183431,3475678,1737016,427595,0,0,1603997964,5549,456788,26344265,streamcluster
6141404,179468,3475678,1737016,427595,0,0,1608703528,5549,456916,26344265,streamcluster
6141404,183576,3475678,1737016,427595,0,0,1603829506,5549,456822,26344265,streamcluster
6141404,179574,3475678,1737016,427595,0,0,1602469838,5549,457223,26344265,streamcluster
6141404,183602,3475678,1737016,427595,0,0,1605331322,5549,456963,26344265,streamcluster
36,23,5982,2982,714,0,0,721218,9,9220,1292928,kmeans
36,38,5982,2982,714,0,0,722996,9,9220,1292928,kmeans
36,34,5982,2982,714,0,0,724922,9,9221,1292928,kmeans
36,23,5982,2982,714,0,0,730100,9,9221,1292928,kmeans
36,38,5982,2982,714,0,0,722700,9,9220,1292928,kmeans
36,38,5982,2982,714,0,0,721959,9,9220,1292928,kmeans
36,23,5982,2982,714,0,0,728773,9,9220,1292928,kmeans
36,38,5982,2982,714,0,0,723885,9,9221,1292928,kmeans
36,35,5982,2982,714,0,0,721661,9,9220,1292928,kmeans
36,38,5982,2982,714,0,0,721809,9,9220,1292928,kmeans
36,26,5982,2982,714,0,0,721366,9,9220,1292928,kmeans
36,38,5982,2982,714,0,0,720180,9,9221,1292928,kmeans
36,26,5982,2982,714,0,0,716775,9,9221,1292928,kmeans
36,38,5982,2982,714,0,0,714996,9,9220,1292928,kmeans
36,26,5982,2982,714,0,0,717653,9,9220,1292928,kmeans
36,26,5982,2982,714,0,0,720773,9,9221,1292928,kmeans
36,35,5982,2982,714,0,0,724625,9,9220,1292928,kmeans
36,38,5982,2982,714,0,0,720771,9,9222,1292928,kmeans
36,35,5982,2982,714,0,0,720912,9,9221,1292928,kmeans
36,26,5982,2982,714,0,0,718849,9,9220,1292928,kmeans
672,2,56,6,1,0,0,13482,1,8377,1231263,nn
672,2,56,6,1,0,0,13779,1,8377,1231263,nn
672,2,56,6,1,0,0,13482,1,8377,1231263,nn
672,2,56,6,1,0,0,14667,1,8377,1231263,nn
672,2,56,6,1,0,0,13927,1,8377,1231263,nn
672,2,56,6,1,0,0,14371,1,8377,1231263,nn
672,2,56,6,1,0,0,13927,1,8377,1231263,nn
672,2,56,6,1,0,0,14371,1,8377,1231263,nn
672,2,56,6,1,0,0,13630,1,8377,1231263,nn
672,2,56,6,1,0,0,14519,1,8377,1231263,nn
672,2,56,6,1,0,0,14519,1,8377,1231263,nn
672,2,56,6,1,0,0,14667,1,8377,1231263,nn
672,2,56,6,1,0,0,14371,1,8377,1231263,nn
672,2,56,6,1,0,0,13778,1,8377,1231263,nn
672,2,56,6,1,0,0,14667,1,8377,1231263,nn
672,2,56,6,1,0,0,14075,1,8377,1231263,nn
672,2,56,6,1,0,0,13927,1,8377,1231263,nn
672,2,56,6,1,0,0,13778,1,8377,1231263,nn
672,2,56,6,1,0,0,14667,1,8377,1231263,nn
672,2,56,6,1,0,0,14519,1,8377,1231263,nn
4080,1422,20024892,4598054,2223827,4103032,0,391960742,20,11267,1542253,heartwall
4080,1422,20024892,4598054,2223827,4103032,0,392002471,20,11262,1542253,heartwall
4080,1422,20024892,4598054,2223827,4103032,0,392042380,20,11265,1542253,heartwall
4080,1422,20024892,4598054,2223827,4103032,0,391856016,20,11264,1542253,heartwall
4080,1422,20024892,4598054,2223827,4103032,0,391665184,20,11265,1542253,heartwall
4080,1422,20024892,4598054,2223827,4103032,0,392021371,20,11262,1542253,heartwall
4080,1422,20024892,4598054,2223827,4103032,0,392382969,20,11265,1542253,heartwall
4080,1422,20024892,4598054,2223827,4103032,0,391976012,20,11265,1542253,heartwall
4080,1422,20024892,4598054,2223827,4103032,0,392019799,20,11265,1542253,heartwall
4080,1422,20024892,4598054,2223827,4103032,0,391793713,20,11264,1542253,heartwall
4080,1422,20024892,4598054,2223827,4103032,0,391776842,20,11263,1542253,heartwall
4080,1422,20024892,4598054,2223827,4103032,0,392102103,20,11262,1542253,heartwall
4080,1422,20024892,4598054,2223827,4103032,0,391733717,20,11263,1542253,heartwall
4080,1422,20024892,4598054,2223827,4103032,0,391840873,20,11262,1542253,heartwall
4080,1422,20024892,4598054,2223827,4103032,0,391828588,20,11265,1542253,heartwall
4080,1422,20024892,4598054,2223827,4103032,0,391794152,20,11265,1542253,heartwall
4080,1422,20024892,4598054,2223827,4103032,0,391494839,20,11262,1542253,heartwall
4080,1422,20024892,4598054,2223827,4103032,0,391932047,20,11264,1542253,heartwall
4080,1422,20024892,4598054,2223827,4103032,0,391695960,20,11262,1542253,heartwall
4080,1422,20024892,4598054,2223827,4103032,0,391557456,20,11265,1542253,heartwall
5310,891,4516,1223,370,942,0,446090,27,10045,1289829,dwt2d
5310,870,4516,1223,370,942,0,444165,27,10045,1289829,dwt2d
5310,877,4516,1223,370,942,0,444017,27,10045,1289829,dwt2d
5310,873,4516,1223,370,942,0,444614,27,10045,1289829,dwt2d
5310,878,4516,1223,370,942,0,448169,27,10045,1289829,dwt2d
5310,880,4516,1223,370,942,0,448904,27,10045,1289829,dwt2d
5310,875,4516,1223,370,942,0,464913,27,10045,1289829,dwt2d
5310,869,4516,1223,370,942,0,445499,27,10045,1289829,dwt2d
5310,878,4516,1223,370,942,0,449054,27,10045,1289829,dwt2d
5310,881,4516,1223,370,942,0,451275,27,10045,1289829,dwt2d
5310,873,4516,1223,370,942,0,468014,27,10045,1289829,dwt2d
5310,870,4516,1223,370,942,0,453206,27,10045,1289829,dwt2d
5310,880,4516,1223,370,942,0,447870,27,10045,1289829,dwt2d
5310,876,4516,1223,370,942,0,452160,27,10045,1289829,dwt2d
5310,894,4516,1223,370,942,0,441647,27,10045,1289829,dwt2d
5310,876,4516,1223,370,942,0,442531,27,10045,1289829,dwt2d
5310,880,4516,1223,370,942,0,442095,27,10045,1289829,dwt2d
5310,876,4516,1223,370,942,0,445199,27,10045,1289829,dwt2d
5310,886,4516,1223,370,942,0,446241,27,10045,1289829,dwt2d
5310,876,4516,1223,370,942,0,448903,27,10045,1289829,dwt2d
5096,2046,27319,4925,1711,18205,0,2179945,46,10946,1283599,lud
5096,2036,27319,4925,1711,18205,0,2208535,46,10946,1283599,lud
5096,2043,27319,4925,1711,18205,0,2176087,46,10946,1283599,lud
5096,2028,27319,4925,1711,18205,0,2173427,46,10946,1283599,lud
5096,2062,27319,4925,1711,18205,0,2173415,46,10946,1283599,lud
5096,2051,27319,4925,1711,18205,0,2170903,46,10946,1283599,lud
5096,2051,27319,4925,1711,18205,0,2204687,46,10946,1283599,lud
5096,2049,27319,4925,1711,18205,0,2172975,46,10946,1283599,lud
5096,2047,27319,4925,1711,18205,0,2173719,46,10946,1283599,lud
5096,2041,27319,4925,1711,18205,0,2174606,46,10946,1283599,lud
5096,2020,27319,4925,1711,18205,0,2204687,46,10946,1283599,lud
5096,2062,27319,4925,1711,18205,0,2178729,46,10946,1283599,lud
5096,2049,27319,4925,1711,18205,0,2173423,46,10946,1283599,lud
5096,2063,27319,4925,1711,18205,0,2169575,46,10946,1283599,lud
5096,2051,27319,4925,1711,18205,0,2177271,46,10946,1283599,lud
5096,2047,27319,4925,1711,18205,0,2171653,46,10946,1283599,lud
5096,2040,27319,4925,1711,18205,0,2172529,46,10946,1283599,lud
5096,2028,27319,4925,1711,18205,0,2174764,46,10946,1283599,lud
5096,2059,27319,4925,1711,18205,0,2172976,46,10946,1283599,lud
5096,2045,27319,4925,1711,18205,0,2172090,46,10946,1283599,lud
9260,70,1138,1293,108,592,0,615290,5,8641,1241368,pathfinder
9260,70,1138,1293,108,592,0,617662,5,8641,1241368,pathfinder
9260,70,1138,1293,108,592,0,626846,5,8641,1241368,pathfinder
9260,70,1138,1293,108,592,0,617512,5,8641,1241368,pathfinder
9260,70,1138,1293,108,592,0,621507,5,8641,1241368,pathfinder
9260,70,1138,1293,108,592,0,610843,5,8641,1241368,pathfinder
9260,70,1138,1293,108,592,0,622102,5,8641,1241368,pathfinder
9260,70,1138,1293,108,592,0,615289,5,8641,1241368,pathfinder
9260,70,1138,1293,108,592,0,619585,5,8641,1241368,pathfinder
9260,70,1138,1293,108,592,0,628622,5,8641,1241368,pathfinder
9260,70,1138,1293,108,592,0,622253,5,8641,1241368,pathfinder
9260,70,1138,1293,108,592,0,620031,5,8641,1241368,pathfinder
9260,70,1138,1293,108,592,0,615880,5,8641,1241368,pathfinder
9260,70,1138,1293,108,592,0,614697,5,8641,1241368,pathfinder
9260,70,1138,1293,108,592,0,618699,5,8641,1241368,pathfinder
9260,70,1138,1293,108,592,0,614400,5,8641,1241368,pathfinder
9260,70,1138,1293,108,592,0,601511,5,8641,1241368,pathfinder
9260,70,1138,1293,108,592,0,611587,5,8641,1241368,pathfinder
9260,70,1138,1293,108,592,0,607139,5,8641,1241368,pathfinder
9260,70,1138,1293,108,592,0,608174,5,8641,1241368,pathfinder
1448000,8746,79860,17810,7802,6000,0,34079061,502,40502,2321812,srad
1448000,8261,79860,17810,7802,6000,0,34172693,502,40536,2321812,srad
1448000,8752,79860,17810,7802,6000,0,33900974,502,40535,2321812,srad
1448000,8184,79860,17810,7802,6000,0,33437419,502,40537,2321812,srad
1448000,8744,79860,17810,7802,6000,0,33784659,502,40536,2321812,srad
1448000,8268,79860,17810,7802,6000,0,34090042,502,40536,2321812,srad
1448000,8756,79860,17810,7802,6000,0,34023810,502,40533,2321812,srad
1448000,8228,79860,17810,7802,6000,0,34136715,502,40537,2321812,srad
1448000,8741,79860,17810,7802,6000,0,34367707,502,40535,2321812,srad
1448000,8221,79860,17810,7802,6000,0,33998159,502,40489,2321812,srad
1448000,8751,79860,17810,7802,6000,0,34742788,502,40534,2321812,srad
1448000,8225,79860,17810,7802,6000,0,33971646,502,40537,2321812,srad
1448000,8752,79860,17810,7802,6000,0,33879138,502,40535,2321812,srad
1448000,8148,79860,17810,7802,6000,0,33747248,502,40526,2321812,srad
1448000,8754,79860,17810,7802,6000,0,34093751,502,40535,2321812,srad
1448000,8230,79860,17810,7802,6000,0,34292426,502,40522,2321812,srad
1448000,8765,79860,17810,7802,6000,0,34037941,502,40535,2321812,srad
1448000,8761,79860,17810,7802,6000,0,34056634,502,40535,2321812,srad
1448000,8194,79860,17810,7802,6000,0,33605894,502,40533,2321812,srad
1448000,8743,79860,17810,7802,6000,0,33956169,502,40497,2321812,srad
1024,732,985,245,262,0,0,278380,16,9603,1298776,bfs
1024,737,985,245,262,0,0,282675,16,9601,1298776,bfs
1024,723,985,245,262,0,0,279120,16,9603,1298776,bfs
1024,705,985,245,262,0,0,302086,16,9603,1298776,bfs
1024,717,985,245,262,0,0,292452,16,9602,1298776,bfs
1024,735,985,245,262,0,0,282673,16,9601,1298776,bfs
1024,725,985,245,262,0,0,278973,16,9602,1298776,bfs
1024,742,985,245,262,0,0,280456,16,9601,1298776,bfs
1024,729,985,245,262,0,0,279861,16,9601,1298776,bfs
1024,735,985,245,262,0,0,282231,16,9603,1298776,bfs
1024,728,985,245,262,0,0,281936,16,9602,1298776,bfs
1024,721,985,245,262,0,0,286673,16,9602,1298776,bfs
1024,734,985,245,262,0,0,284308,16,9602,1298776,bfs
1024,734,985,245,262,0,0,278526,16,9597,1298776,bfs
1024,724,985,245,262,0,0,279278,16,9602,1298776,bfs
1024,739,985,245,262,0,0,281188,16,9605,1298776,bfs
1024,724,985,245,262,0,0,279565,16,9601,1298776,bfs
1024,739,985,245,262,0,0,278527,16,9604,1298776,bfs
1024,724,985,245,262,0,0,296009,16,9604,1298776,bfs
1024,738,985,245,262,0,0,283119,16,9603,1298776,bfs
2000,96,143141,9020,221,6697,0,59164078,1,8434,1239823,lavaMD
2000,96,143141,9020,221,6697,0,60188081,1,8434,1239823,lavaMD
2000,96,143141,9020,221,6697,0,59817203,1,8434,1239823,lavaMD
2000,96,143141,9020,221,6697,0,60962181,1,8434,1239823,lavaMD
2000,96,143141,9020,221,6697,0,59853708,1,8434,1239823,lavaMD
2000,96,143141,9020,221,6697,0,59732449,1,8434,1239823,lavaMD
2000,96,143141,9020,221,6697,0,61228102,1,8434,1239823,lavaMD
2000,96,143141,9020,221,6697,0,60500762,1,8434,1239823,lavaMD
2000,96,143141,9020,221,6697,0,60984810,1,8434,1239823,lavaMD
2000,96,143141,9020,221,6697,0,60695760,1,8434,1239823,lavaMD
2000,96,143141,9020,221,6697,0,59491400,1,8434,1239823,lavaMD
2000,96,143141,9020,221,6697,0,60221684,1,8434,1239823,lavaMD
2000,96,143141,9020,221,6697,0,59630996,1,8434,1239823,lavaMD
2000,96,143141,9020,221,6697,0,60721386,1,8434,1239823,lavaMD
2000,96,143141,9020,221,6697,0,59483872,1,8434,1239823,lavaMD
2000,96,143141,9020,221,6697,0,60822921,1,8434,1239823,lavaMD
2000,96,143141,9020,221,6697,0,60895780,1,8434,1239823,lavaMD
2000,95,143141,9020,221,6697,0,59500021,1,8434,1239823,lavaMD
2000,96,143141,9020,221,6697,0,59081749,1,8434,1239823,lavaMD
2000,96,143141,9020,221,6697,0,59698847,1,8434,1239823,lavaMD
36441314,482185,6410108,472032,388028,0,0,1897599477,16004,932665,23254108,cfd
36441314,482061,6410108,472032,388028,0,0,1919310026,16004,932663,23254108,cfd
36441314,482059,6410108,472032,388028,0,0,1922412667,16004,932664,23254108,cfd
36441314,482084,6410108,472032,388028,0,0,1912522453,16004,932663,23254108,cfd
36441314,482066,6410108,472032,388028,0,0,1915223350,16004,932663,23254108,cfd
36441314,482121,6410108,472032,388028,0,0,1896870148,16004,932664,23254108,cfd
36441314,482175,6410108,472032,388028,0,0,1916275851,16004,932664,23254108,cfd
36441314,482098,6410108,472032,388028,0,0,1917381185,16004,932664,23254108,cfd
36441314,482065,6410108,472032,388028,0,0,1910781535,16004,932664,23254108,cfd
36441314,482208,6410108,472032,388028,0,0,1877014881,16004,932664,23254108,cfd
36441314,482065,6410108,472032,388028,0,0,1924671970,16004,932664,23254108,cfd
36441314,482059,6410108,472032,388028,0,0,1923992795,16004,932663,23254108,cfd
36441314,482069,6410108,472032,388028,0,0,1901298841,16004,932664,23254108,cfd
36441314,482111,6410108,472032,388028,0,0,1915335706,16004,932666,23254108,cfd
36441314,482061,6410108,472032,388028,0,0,1919998648,16004,932664,23254108,cfd
36441314,482061,6410108,472032,388028,0,0,1903711505,16004,932666,23254108,cfd
36441314,482059,6410108,472032,388028,0,0,1908039243,16004,932664,23254108,cfd
36441314,482067,6410108,472032,388028,0,0,1899550603,16004,932663,23254108,cfd
36441314,482184,6410108,472032,388028,0,0,1884961453,16004,932666,23254108,cfd
36441314,482078,6410108,472032,388028,0,0,1907704373,16004,932665,23254108,cfd
144,398,19578,87211,45,0,0,2658041,9,9883,1380706,particlefilter
144,404,19578,87211,45,0,0,2661156,9,9895,1380706,particlefilter
144,402,19578,87211,45,0,0,2659347,9,9892,1380706,particlefilter
144,403,19578,87211,45,0,0,2670635,9,9885,1380706,particlefilter
144,408,19578,87211,45,0,0,2656709,9,9903,1380706,particlefilter
144,393,19578,87211,45,0,0,2660859,9,9899,1380706,particlefilter
144,396,19578,87211,45,0,0,2660561,9,9900,1380706,particlefilter
144,405,19578,87211,45,0,0,2652713,9,9889,1380706,particlefilter
144,403,19578,87211,45,0,0,2662159,9,9895,1380706,particlefilter
144,402,19578,87211,45,0,0,2658795,9,9891,1380706,particlefilter
144,403,19578,87211,45,0,0,2654339,9,9891,1380706,particlefilter
144,401,19578,87211,45,0,0,2662189,9,9914,1380706,particlefilter
144,390,19578,87211,45,0,0,2665280,9,9916,1380706,particlefilter
144,404,19578,87211,45,0,0,2657748,9,9901,1380706,particlefilter
144,405,19578,87211,45,0,0,2654752,9,9907,1380706,particlefilter
144,403,19578,87211,45,0,0,2659374,9,9895,1380706,particlefilter
144,402,19578,87211,45,0,0,2673006,9,9887,1380706,particlefilter
144,403,19578,87211,45,0,0,2657599,9,9885,1380706,particlefilter
144,408,19578,87211,45,0,0,2655833,9,9907,1380706,particlefilter
144,395,19578,87211,45,0,0,2659378,9,9894,1380706,particlefilter
7396,66,142,80,2,17,0,99708,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,100597,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,99708,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,99412,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,99560,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,100301,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,98819,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,100449,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,99560,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,100004,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,99560,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,100597,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,100744,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,99856,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,99857,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,100894,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,100152,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,100005,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,98967,1,8413,1236706,hotspot
7396,66,142,80,2,17,0,99708,1,8413,1236706,hotspot
